"","Estimate","Std. Error","t-value","Pr(>|t|)"
"as.factor(year)1919:I(tenure^2)",0.00995,0.01179,0.84361,0.3989
"as.factor(year)1920:I(tenure^2)",0.00901,0.01179,0.76434,0.44468
"as.factor(year)1921:I(tenure^2)",0.00832,0.01179,0.70565,0.48042
"as.factor(year)1922:I(tenure^2)",0.00856,0.01179,0.72628,0.46768
"as.factor(year)1923:I(tenure^2)",0.00858,0.01179,0.72791,0.46668
"as.factor(year)1924:I(tenure^2)",0.00873,0.01179,0.74026,0.45915
"as.factor(year)1925:I(tenure^2)",0.0088,0.01179,0.74637,0.45546
"as.factor(year)1926:I(tenure^2)",0.00889,0.01179,0.75395,0.45089
"as.factor(year)1927:I(tenure^2)",0.00886,0.01179,0.7515,0.45236
"as.factor(year)1928:I(tenure^2)",0.00897,0.01179,0.76055,0.44694
"as.factor(year)1929:I(tenure^2)",0.00865,0.01179,0.73407,0.46292
"as.factor(year)1930:I(tenure^2)",0.00863,0.01179,0.73234,0.46397
