Var,WDB North,WDB London,SRB,District
yearten1911,0.0140 (0.00198),-0.00390 (0.00368),NA ,-0.00137 (0.00363)
yearten1912,0.0135 (0.00193),-0.00500 (0.00365),NA ,0.00146 (0.00358)
yearten1913,0.0148 (0.00190),-0.00761 (0.00364),NA ,0.00310 (0.00359)
yearten1914,0.0160 (0.00187),-0.00766 (0.00356),NA ,0.00302 (0.00352)
yearten1915,0.0141 (0.00185),-0.00606 (0.00350),NA ,0.00456 (0.00342)
yearten1916,0.0133 (0.00184),-0.00538 (0.00350),NA ,0.00110 (0.00343)
yearten1917,0.0119 (0.00184),-0.00335 (0.00341),NA ,-0.00187 (0.00348)
yearten1918,0.0105 (0.00186),-0.00382 (0.00340),NA ,0.00121 (0.00354)
yearten1919,0.0000 (0.00183),-0.00880 (0.00344),NA ,-0.00572 (0.00389)
yearten1920,0.00472 (0.00177),-0.00807 (0.00354),NA ,NA 
yearten1921,0.00637 (0.00174),-0.00341 (0.00360),NA ,NA 
yearten1922,0.00762 (0.00173),-0.00201 (0.00351),NA ,NA 
yearten1923,0.00839 (0.00171),-0.00220 (0.00347),NA ,NA 
yearten1924,0.00854 (0.00169),0.00104 (0.00332),NA ,NA 
yearten1925,0.00738 (0.00168),0.000284 (0.00326),NA ,NA 
yearten1926,0.00979 (0.00166),0.00573 (0.00339),NA ,NA 
yearten1927,0.00876 (0.00166),0.00743 (0.00343),NA ,NA 
yearten1928,0.00718 (0.00166),0.00639 (0.00338),NA ,NA 
yearten1929,0.00437 (0.00168),0.00377 (0.00343),NA ,NA 
yearten1930,0.00287 (0.00168),0.00318 (0.00337),NA ,NA 
yearten1931,0.000936 (0.00171),0.000240 (0.00342),NA ,NA 
yearten1932,-0.00195 (0.00174),-0.000701 (0.00346),NA ,NA 
yearten1933,-0.00233 (0.00175),0.00000 (0.00353),NA ,NA 
yearten1934,-0.00194 (0.00176),0.000885 (0.00358),NA ,NA 
yearten1935,-0.00145 (0.00179),0.00113 (0.00360),NA ,NA 
Constant,4.303 (0.0264),4.271 (0.0533),4.043 (0.0695),3.776 (0.0537)
